name,form,dose
ACNE CONTROL CLEANSER,CLEANSER,5 %
ACNE CONTROL CLEANSER,CLEANSER,6 %
ACNE CONTROL CLEANSER,CLEANSER,7 %
ACNE CONTROL CLEANSER,Gel,5 %
ACNE CONTROL CLEANSER,Gel,2.5 %
ACNE CONTROL CLEANSER,Gel,10 %
ACNE CONTROL CLEANSER,Foam,9.8 %
ACNE CONTROL CLEANSER,TOWELETTE,9.5 %
ACNE FOAMING WASH,CLEANSER,10 %
ACNE FOAMING WASH,CLEANSER,5 %
ACNE FOAMING WASH,CLEANSER,6 %
ACNE FOAMING WASH,CLEANSER,7 %
ACNE FOAMING WASH,Gel,5 %
ACNE FOAMING WASH,Gel,2.5 %
ACNE FOAMING WASH,Gel,10 %
ACNE FOAMING WASH,Foam,9.8 %
ACNE FOAMING WASH,TOWELETTE,9.5 %
ACNE MEDICATION,CLEANSER,10 %
ACNE MEDICATION,CLEANSER,5 %
ACNE MEDICATION,CLEANSER,6 %
ACNE MEDICATION,CLEANSER,7 %
ACNE MEDICATION,Gel,5 %
ACNE MEDICATION,Gel,2.5 %
ACNE MEDICATION,Gel,10 %
ACNE MEDICATION,Foam,9.8 %
ACNE MEDICATION,TOWELETTE,9.5 %
ACTEMRA,Syringe,162 MG/0.9
ACTEMRA,VIAL,400MG/20ML
ACTEMRA,VIAL,80 MG/4 ML
ACTEMRA,VIAL,200MG/10ML
ACTEMRA ACTPEN,PEN INJCTR,162 MG/0.9
ACTHAR,VIAL,80 UNIT/ML
ACTHIB,VIAL,10 MCG/0.5
ACTICARNITINE SF,Tablet,330 MG
ACTICARNITINE SF,Solution,100 MG/ML
ACTICARNITINE SF,Solution,1 G/10 ML
ACTICLATE,Capsule,100 MG
ACTICLATE,Capsule,50 MG
ACTICLATE,Tablet,100 MG
ACTICLATE,Tablet,20 MG
ACTICLATE,Tablet,50 MG
ACTICLATE,Tablet,150 MG
ACTICLATE,Tablet,75 MG
ACTICLATE,TABLET DR,100 MG
ACTICLATE,TABLET DR,200 MG
ACTICLATE,TABLET DR,150 MG
ACTICLATE,TABLET DR,50 MG
ACTICLATE,TABLET DR,80 MG
ACTICLATE,TABLET DR,75 MG
ACTICLATE,VIAL,100 MG
ACTICON,Tablet,2 MG-60 MG
ACTICON,Solution,1MG-30MG/5
ACTIDOM DMX,Liquid,200-30-10
ACTIDOSE,Oral Suspension,50G/240ML
ACTIDOSE,Oral Suspension,25 G/120ML
ACTIDOSE-AQUA,Oral Suspension,50G/240ML
ACTIDOSE-AQUA,Oral Suspension,15G/72ML
ACTIDOSE-AQUA,Oral Suspension,25 G/120ML
ACTIMMUNE,VIAL,100MCG/0.5
ACTINEL,Solution,200-15-30
ACTINEL PEDIATRIC,Liquid,50-5-15/5
ACTIQ,VIAL,50 MCG/ML
ACTIQ,LOZENGE HD,600 MCG
ACTIQ,LOZENGE HD,200 MCG
ACTIQ,LOZENGE HD,400 MCG
ACTIQ,LOZENGE HD,800 MCG
ACTIQ,LOZENGE HD,1200 MCG
ACTIQ,LOZENGE HD,1600 MCG
ACTIQ,AMPUL,50 MCG/ML
ACTIQ,Syringe,50 MCG/ML
ACTIQ,Syringe,250MCG/5ML
ACTIQ,Syringe,100MCG/2ML
ACTIQ,PLAST. BAG,50 MCG/ML
ACTIQ,PCA SYRING,2750MCG/55
ACTIQ,PCA SYRING,1500MCG/30
ACTIQ,PCA SYRING,2500MCG/50
ACTIQ,PCA SYRING,1000MCG/20
ACTIQ,TABLET EFF,100 MCG
ACTIQ,TABLET EFF,200 MCG
ACTIQ,TABLET EFF,400 MCG
ACTIQ,TABLET EFF,600 MCG
ACTIQ,TABLET EFF,800 MCG
ACTIQ,PCA VIAL,1500MCG/30
ACTIQ,CARTRIDGE,100MCG/2ML
ACTIQ,PUMP RESVR,2500MCG/50
ACTIVASE,VIAL,50 MG
ACTIVASE,VIAL,100 MG
ACTIVATED CHARCOAL,Capsule,260 MG
ACTIVATED CHARCOAL,Powder,Not Applicable
ACTIVE INJECTION KIT D,Kit,10 MG/ML
ACTIVE-PAC,KIT GEL-CP,300MG-4-1%
ACTIVELLA,Tablet,0.5-0.1 MG
ACTIVELLA,Tablet,1 MG-0.5MG
ACTONEL,Tablet,150 MG
ACTONEL,Tablet,35 MG
ACTONEL,Tablet,5 MG
ACTONEL,Tablet,30 MG
ACTOPLUS MET,Tablet,15MG-850MG
ACTOPLUS MET,Tablet,15MG-500MG
ACTOS,Tablet,30 MG
ACTOS,Tablet,15 MG
ACTOS,Tablet,45 MG
ACULAR,Tablet,10 MG
ACULAR,Drops,0.5 %
ACULAR,Drops,0.4 %
ACULAR,VIAL,30MG/ML(1)
ACULAR,VIAL,60 MG/2 ML
ACULAR,VIAL,15 MG/ML
ACULAR,VIAL,30 MG/ML
ACULAR,CARTRIDGE,30 MG/ML
ACULAR,CARTRIDGE,15 MG/ML
ACULAR,CARTRIDGE,60 MG/2 ML
ACULAR,SPRAY,15.75 MG
ACULAR,Syringe,60 MG/2 ML
ACULAR,Syringe,30 MG/ML
ACULAR,Syringe,15 MG/ML
ACULAR LS,Tablet,10 MG
ACULAR LS,Drops,0.5 %
ACULAR LS,Drops,0.4 %
ACULAR LS,VIAL,30MG/ML(1)
ACULAR LS,VIAL,60 MG/2 ML
ACULAR LS,VIAL,15 MG/ML
ACULAR LS,VIAL,30 MG/ML
ACULAR LS,CARTRIDGE,30 MG/ML
ACULAR LS,CARTRIDGE,15 MG/ML
ACULAR LS,CARTRIDGE,60 MG/2 ML
ACULAR LS,SPRAY,15.75 MG
ACULAR LS,Syringe,60 MG/2 ML
ACULAR LS,Syringe,30 MG/ML
ACULAR LS,Syringe,15 MG/ML
ACUVAIL,DROPERETTE,0.45 %
ACYCLOVIR,Tablet,400 MG
ACYCLOVIR,Tablet,800 MG
ACYCLOVIR,Ointment,5 %
ACYCLOVIR,Capsule,200 MG
ACYCLOVIR,Cream (g),5 %
ACYCLOVIR,Oral Suspension,200 MG/5ML
ACYCLOVIR SODIUM,VIAL,500 MG
ACYCLOVIR SODIUM,VIAL,1000 MG
ACYCLOVIR SODIUM,VIAL,50 MG/ML
ACZONE,Gel,5 %
ACZONE,Tablet,100 MG
ACZONE,Tablet,25 MG
ACZONE,GEL W/PUMP,7.5 %
ADACEL TDAP,Syringe,2-2.5-5/.5
ADACEL TDAP,VIAL,2-2.5-5/.5
ADAKVEO,VIAL,100MG/10ML
ADAPALENE,Gel,0.1 %
ADAPALENE,Gel,0.3 %
ADAPALENE,Cream (g),0.1 %
ADAPALENE,GEL W/PUMP,0.3 %
ADAPALENE,Lotion,0.1 %
ADAPALENE,Solution,0.1 %
ADAPALENE,MED. SWAB,0.1 %
ADAPALENE-BENZOYL PEROXIDE,GEL W/PUMP,0.1 %-2.5%
ADAPALENE-BENZOYL PEROXIDE,GEL W/PUMP,0.3 %-2.5%
ADBRY,Syringe,150 MG/ML
ADCETRIS,VIAL,50 MG
ADCIRCA,Tablet,20 MG
ADCIRCA,Tablet,5 MG
ADCIRCA,Tablet,10 MG
ADCIRCA,Tablet,2.5 MG
ADDAPRIN,Tablet,200 MG
ADDERALL,Tablet,20 MG
ADDERALL,Tablet,30 MG
ADDERALL,Tablet,10 MG
ADDERALL,Tablet,15 MG
ADDERALL,Tablet,5 MG
ADDERALL,Tablet,7.5 MG
ADDERALL,Tablet,12.5 MG
ADDERALL XR,Capsule ER 24H,20 MG
ADDERALL XR,Capsule ER 24H,30 MG
ADDERALL XR,Capsule ER 24H,15 MG
ADDERALL XR,Capsule ER 24H,10 MG
ADDERALL XR,Capsule ER 24H,25 MG
ADDERALL XR,Capsule ER 24H,5 MG
ADDYI,Tablet,100 MG
ADEFOVIR DIPIVOXIL,Tablet,10 MG
ADEMPAS,Tablet,1.5 MG
ADEMPAS,Tablet,0.5 MG
ADEMPAS,Tablet,1 MG
ADEMPAS,Tablet,2 MG
ADEMPAS,Tablet,2.5 MG
ADENOSINE,VIAL,3 MG/ML
ADENOSINE,Syringe,3 MG/ML
ADIPEX-P,Tablet,37.5 MG
ADIPEX-P,Capsule,15 MG
ADIPEX-P,Capsule,37.5 MG
ADIPEX-P,Capsule,30 MG
ADLARITY,Patch ,5 MG/24 HR
ADLARITY,Patch ,10 MG/24HR
ADLT WAL-TUSSIN COUGH-COLD CF,Liquid,100-10-5MG
ADMELOG,VIAL,100/ML
ADMELOG SOLOSTAR,INSULN PEN,100/ML
ADRENALIN,VIAL,1 MG/ML(1)
ADRENALIN,VIAL,1 MG/ML
ADRENALIN CHLORIDE,Solution,1 MG/ML
ADRIAMYCIN,VIAL,10 MG
ADRIAMYCIN,VIAL,50 MG
ADRIAMYCIN,VIAL,2 MG/ML
ADRIAMYCIN,VIAL,10 MG/5 ML
ADRIAMYCIN,VIAL,50 MG/25ML
ADRIAMYCIN,VIAL,20 MG/10ML
ADRUCIL,VIAL,2.5 G/50ML
ADUHELM,VIAL,170 MG/1.7
ADUHELM,VIAL,300MG/3ML
ADULT ASPIRIN REGIMEN,TABLET DR,81 MG
ADULT ASPIRIN REGIMEN,TABLET DR,325 MG
ADULT ASPIRIN REGIMEN,TABLET DR,650 MG
ADULT ASPIRIN REGIMEN,TABLET DR,500 MG
ADULT DM MAXIMUM,Liquid,100-5 MG/5
ADULT GLYCERIN,SUPP.RECT,ADULT
ADULT LOW DOSE ASPIRIN EC,TABLET DR,81 MG
ADULT ROBITUSSIN PEAK COLD M-S,Liquid,100-10-5MG
ADULT TUSSIN CHEST CONGESTION,Liquid,100 MG/5ML
ADULT TUSSIN COUGH CONGEST DM,Liquid,100-10MG/5
ADULT TUSSIN DM,SYRUP,100-10MG/5
ADULT TUSSIN DM,Liquid,100-10MG/5
ADULT TUSSIN DM,Tablet,400MG-20MG
ADULT TUSSIN MULTI-SYMP COLD,Liquid,100-10-5MG
ADULT WAL-TUSSIN,Liquid,100 MG/5ML
ADULT WAL-TUSSIN DM,SYRUP,100-10MG/5
ADULT WAL-TUSSIN DM,Liquid,100-10MG/5
ADULT WAL-TUSSIN DM,Tablet,400MG-20MG
ADULT WAL-TUSSIN DM MAX,Liquid,200-10MG/5
ADULT WAL-TUSSIN DM MAX,Liquid,100-10MG/5
ADVAIR DISKUS,Inhaler,250-50 MCG
ADVAIR DISKUS,Inhaler,100-50 MCG
ADVAIR DISKUS,Inhaler,500-50 MCG
ADVAIR HFA,HFA AER AD,115-21MCG
ADVAIR HFA,HFA AER AD,230-21MCG
ADVAIR HFA,HFA AER AD,45-21 MCG
ADVANCED ANTACID-ANTIGAS,Oral Suspension,200-200-20
ADVANCED ANTACID-ANTIGAS,Oral Suspension,400-400-40
ADVANCED DNA MEDICATED COLLECT,Kit,20 MG/ML
ADVANCED EXFOLIATING CLEANSER,CLEANSER,10 %
ADVANCED EXFOLIATING CLEANSER,CLEANSER,5 %
ADVANCED EXFOLIATING CLEANSER,CLEANSER,6 %
ADVANCED EXFOLIATING CLEANSER,CLEANSER,7 %
ADVANCED EXFOLIATING CLEANSER,Gel,5 %
ADVANCED EXFOLIATING CLEANSER,Gel,2.5 %
ADVANCED EXFOLIATING CLEANSER,Gel,10 %
ADVANCED EXFOLIATING CLEANSER,Foam,9.8 %
ADVANCED EXFOLIATING CLEANSER,TOWELETTE,9.5 %
ADVATE,VIAL,3000 (+/-)
ADVATE,VIAL,4000 (+/-)
ADVATE,VIAL,2000 (+/-)
ADVATE,VIAL,1500 (+/-)
ADVATE,VIAL,500 (+/-)
ADVATE,VIAL,1000 (+/-)
ADVATE,VIAL,250 (+/-)
ADVIL,Tablet,2-30-200MG
ADVIL,Tablet,200 MG
ADVIL,Capsule,200 MG
ADVIL COLD & SINUS,Tablet,200MG-30MG
ADVIL COLD-SINUS,Tablet,200MG-30MG
ADVIL COLD-SINUS,Capsule,200MG-30MG
ADVIL JUNIOR STRENGTH,Tablet,800 MG
ADVIL JUNIOR STRENGTH,Tablet,600 MG
ADVIL JUNIOR STRENGTH,Tablet,400 MG
ADVIL JUNIOR STRENGTH,Tablet,200 MG
ADVIL JUNIOR STRENGTH,Oral Suspension,100 MG/5ML
ADVIL JUNIOR STRENGTH,Chewable Tablet,100 MG
ADVIL JUNIOR STRENGTH,Capsule,200 MG
ADVIL MIGRAINE,Tablet,800 MG
ADVIL MIGRAINE,Tablet,600 MG
ADVIL MIGRAINE,Tablet,400 MG
ADVIL MIGRAINE,Tablet,200 MG
ADVIL MIGRAINE,Oral Suspension,100 MG/5ML
ADVIL MIGRAINE,Chewable Tablet,100 MG
ADVIL MIGRAINE,Capsule,200 MG
ADVIL PM,Tablet,200MG-38MG
ADVIL PM,Capsule,200MG-25MG
ADVOCATE PAIN RELIEF,Liquid,10 %
ADYPHREN,Kit,1 MG/ML(1)
ADYPHREN AMP,Kit,1 MG/ML(1)
ADZENYS XR-ODT,TAB RAP BP,12.5 MG
ADZENYS XR-ODT,TAB RAP BP,18.8 MG
ADZENYS XR-ODT,TAB RAP BP,9.4 MG
ADZENYS XR-ODT,TAB RAP BP,15.7 MG
ADZENYS XR-ODT,TAB RAP BP,6.3 MG
ADZENYS XR-ODT,TAB RAP BP,3.1 MG
AEMCOLO,TABLET DR,194 MG
AFINITOR,Tablet,1 MG
AFINITOR,Tablet,0.5 MG
AFINITOR,Tablet,0.25 MG
AFINITOR,Tablet,10 MG
AFINITOR,Tablet,7.5 MG
AFINITOR,Tablet,0.75 MG
AFINITOR,Tablet,5 MG
AFINITOR,Tablet,2.5 MG
AFINITOR,TAB SUSP,2 MG
AFINITOR,TAB SUSP,3 MG
AFINITOR,TAB SUSP,5 MG
AFINITOR DISPERZ,Tablet,1 MG
AFINITOR DISPERZ,Tablet,0.5 MG
AFINITOR DISPERZ,Tablet,0.25 MG
AFINITOR DISPERZ,Tablet,10 MG
AFINITOR DISPERZ,Tablet,7.5 MG
AFINITOR DISPERZ,Tablet,0.75 MG
AFINITOR DISPERZ,Tablet,5 MG
AFINITOR DISPERZ,Tablet,2.5 MG
AFINITOR DISPERZ,TAB SUSP,2 MG
AFINITOR DISPERZ,TAB SUSP,3 MG
AFINITOR DISPERZ,TAB SUSP,5 MG
AFIRMELLE,Tablet,0.1-0.02MG
AFLURIA QUAD 2022-2023,VIAL,60MCG/.5ML
AFLURIA QUAD 2022-23 (3YR UP),Syringe,60MCG/.5ML
AFREZZA,CART INHAL,4 UNIT
AFREZZA,CART INHAL,8 UNIT(90)
AFREZZA,CART INHAL,4 UNIT(90)
AFREZZA,CART INHAL,12 UNIT
AFREZZA,CART INHAL,4-8-12(60)
AFREZZA,CART INHAL,8 UNIT
AFRIN,SPRAY,0.05 %
AFRIN,MIST,0.05 %
AFSTYLA,VIAL,250 (+/-)
AFSTYLA,VIAL,500 (+/-)
AFSTYLA,VIAL,1000 (+/-)
AFSTYLA,VIAL,2000 (+/-)
AFSTYLA,VIAL,3000 (+/-)
AFSTYLA,VIAL,1500 (+/-)
AFSTYLA,VIAL,2500 (+/-)
AFTER PILL,Tablet,1.5 MG
AFTERA,Tablet,1.5 MG
AGGRASTAT,VIAL,5 MG/100ML
AGGRASTAT,VIAL,3.75 MG/15
AGGRASTAT,PLAST. BAG,12.5MG/250
AGGRASTAT,PLAST. BAG,5 MG/100ML
AGONEAZE,Cream (g),2.5 %-2.5%
AGONEAZE,Kit,2.5 %-2.5%
AGRYLIN,Capsule,0.5 MG
AGRYLIN,Capsule,1 MG
AHIST,Tablet,25 MG
AIMOVIG AUTOINJECTOR,AUTO INJCT,140 MG/ML
AIMOVIG AUTOINJECTOR,AUTO INJCT,70 MG/ML
AIRDUO DIGIHALER,AER PW BAS,113-14 MCG
AIRDUO DIGIHALER,AER PW BAS,232-14 MCG
AIRDUO DIGIHALER,AER PW BAS,55-14 MCG
AIRDUO RESPICLICK,AER POW BA,113-14 MCG
AIRDUO RESPICLICK,AER POW BA,232-14 MCG
AIRDUO RESPICLICK,AER POW BA,55-14 MCG
AJOVY AUTOINJECTOR,AUTO INJCT,225 MG/1.5
AJOVY SYRINGE,Syringe,225 MG/1.5
AK-POLY-BAC,Ointment,500-10K/G
AKLIEF,Cream (g),0.005 %
AKOVAZ,Syringe,25 MG/5 ML
AKOVAZ,VIAL,50MG/ML(1)
AKOVAZ,VIAL,50 MG/10ML
AKOVAZ,AMPUL,50MG/ML(1)
AKTEN,GEL (ML),3.5 %
AKYNZEO,Capsule,300-0.5 MG
AKYNZEO,VIAL,235-0.25MG
ALA-CORT,Cream (g),1 %
ALA-HIST IR,Tablet,2 MG
ALA-QUIN,Cream (g),3 %-0.5 %
ALA-SCALP,Lotion,2 %
ALAVERT,TAB RAPDIS,10 MG
ALAVERT,Tablet ER 12H,5 MG-120MG
ALAVERT D-12,Tablet ER 12H,5 MG-120MG
ALAWAY,Drops,0.025 %
ALBENDAZOLE,Tablet,200 MG
ALBUKED-25,VIAL,25 %
ALBUKED-25,VIAL,5 %
ALBUKED-5,VIAL,5 %
ALBUMIN (HUMAN),IV SOLN,25 %
ALBUMIN (HUMAN),IV SOLN,5 %
ALBUMINEX,VIAL,5 %
ALBUMINEX,VIAL,25 %
ALBURX,VIAL,25 %
ALBURX,VIAL,5 %
ALBUTEIN,VIAL,25 %
ALBUTEIN,VIAL,5 %
ALBUTEROL SULFATE,VIAL-NEB,2.5 MG/3ML
ALBUTEROL SULFATE,VIAL-NEB,1.25MG/3ML
ALBUTEROL SULFATE,VIAL-NEB,0.63MG/3ML
ALBUTEROL SULFATE,VIAL-NEB,2.5 MG/0.5
ALBUTEROL SULFATE,SYRUP,2 MG/5 ML
ALBUTEROL SULFATE,Solution,5 MG/ML
ALBUTEROL SULFATE,Tablet,4 MG
ALBUTEROL SULFATE,Tablet,2 MG
ALBUTEROL SULFATE,Tablet ER 12H,4 MG
ALBUTEROL SULFATE,Tablet ER 12H,8 MG
ALBUTEROL SULFATE HFA,HFA AER AD,90 MCG
ALCAINE,Drops,0.5 %
ALCLOMETASONE DIPROPIONATE,Cream (g),0.05 %
ALCLOMETASONE DIPROPIONATE,Ointment,0.05 %
ALDACTAZIDE,Tablet,50 MG-50MG
ALDACTAZIDE,Tablet,25 MG-25MG
ALDACTONE,Tablet,25 MG
ALDACTONE,Tablet,100 MG
ALDACTONE,Tablet,50 MG
ALDURAZYME,VIAL,2.9 MG/5ML
ALECENSA,Capsule,150 MG
ALENDRONATE SODIUM,Tablet,70 MG
ALENDRONATE SODIUM,Tablet,35 MG
ALENDRONATE SODIUM,Tablet,10 MG
ALENDRONATE SODIUM,Tablet,5 MG
ALENDRONATE SODIUM,Solution,70 MG/75ML
ALER-CAPS,Capsule,25 MG
ALERT AID,Tablet,200 MG
ALEVAZOL,Ointment,1 %
ALEVE,Tablet,550 MG
ALEVE,Tablet,220 MG
ALEVE,Tablet,275 MG
ALEVE PM,Tablet,220MG-25MG
ALEVE SINUS AND HEADACHE,Tablet ER 12H,220-120MG
ALEVE-D SINUS AND COLD,Tablet ER 12H,220-120MG
ALEVE-D SINUS AND HEADACHE,Tablet ER 12H,220-120MG
ALFERON N,VIAL,5MMUNIT/ML
ALFUZOSIN HCL ER,Tablet ER 24H,10 MG
ALIMTA,VIAL,500 MG
ALIMTA,VIAL,100 MG
ALIMTA,VIAL,1000 MG
ALIMTA,VIAL,25 MG/ML
ALIMTA,VIAL,750 MG
ALINIA,Oral Suspension,100 MG/5ML
ALINIA,Tablet,500 MG
ALIQOPA,VIAL,60 MG
ALISKIREN,Tablet,300 MG
ALISKIREN,Tablet,150 MG
ALKA-SELTZER,TABLET EFF,344-1050MG
ALKA-SELTZER,TABLET EFF,500-1985MG
ALKERAN,Tablet,2 MG
ALKINDI SPRINKLE,CAP SPRINK,0.5 MG
ALKINDI SPRINKLE,CAP SPRINK,1 MG
ALKINDI SPRINKLE,CAP SPRINK,2 MG
ALKINDI SPRINKLE,CAP SPRINK,5 MG
ALLEGRA ALLERGY,Tablet,180 MG
ALLEGRA ALLERGY,Tablet,60 MG
ALLEGRA-D 12 HOUR,Tablet ER 12H,60MG-120MG
ALLEGRA-D 12 HOUR,Tablet ER 24H,180-240MG
ALLEGRA-D 24 HOUR,Tablet ER 24H,180-240MG
ALLER-CHLOR,Tablet,4 MG
ALLER-CHLOR,Tablet,12 MG
ALLER-CORT,SPRAY,55 MCG
ALLER-EASE,Tablet,60 MG
ALLER-EASE,Tablet,180 MG
