name,form
ACTIQ,LOZENGE HD
ACTIQ,AMPUL
ACTIQ,Syringe
ACTIQ,PLAST. BAG
ACTIQ,PCA SYRING
ACTIQ,TABLET EFF
ACTIQ,PCA VIAL
ACTIQ,CARTRIDGE
ACTIQ,PUMP RESVR
ACTIVASE,VIAL
ACTIVATED CHARCOAL,Capsule
ACTIVATED CHARCOAL,Powder
ACTIVE INJECTION KIT D,Kit
ACTIVE-PAC,KIT GEL-CP
ACTIVELLA,Tablet
ACTONEL,Tablet
ACTOPLUS MET,Tablet
ACTOS,Tablet
ACULAR,Tablet
ACULAR,Drops
ACULAR,VIAL
ACULAR,CARTRIDGE
ACULAR,SPRAY
ACULAR,Syringe
ACULAR LS,Tablet
ACULAR LS,Drops
ACULAR LS,VIAL
ACULAR LS,CARTRIDGE
ACULAR LS,SPRAY
ACULAR LS,Syringe
ACUVAIL,DROPERETTE
ACYCLOVIR,Tablet
ACYCLOVIR,Ointment
ACYCLOVIR,Capsule
ACYCLOVIR,Cream (g)
ACYCLOVIR,Oral Suspension
ACYCLOVIR SODIUM,VIAL
ACZONE,Gel
ACZONE,Tablet
ACZONE,GEL W/PUMP
ADACEL TDAP,Syringe
ADACEL TDAP,VIAL
ADAKVEO,VIAL
ADAPALENE,Gel
ADAPALENE,Cream (g)
ADAPALENE,GEL W/PUMP
ADAPALENE,Lotion
ADAPALENE,Solution
ADAPALENE,MED. SWAB
ADAPALENE-BENZOYL PEROXIDE,GEL W/PUMP
ADBRY,Syringe
ADCETRIS,VIAL
ADCIRCA,Tablet
ADDAPRIN,Tablet
ADDERALL,Tablet
ADDERALL XR,Capsule ER 24H
ADDYI,Tablet
ADEFOVIR DIPIVOXIL,Tablet
ADEMPAS,Tablet
ADENOSINE,VIAL
ADENOSINE,Syringe
ADIPEX-P,Tablet
ADIPEX-P,Capsule
ADLARITY,Patch 
ADLT WAL-TUSSIN COUGH-COLD CF,Liquid
ADMELOG,VIAL
ADMELOG SOLOSTAR,INSULN PEN
ADRENALIN,VIAL
ADRENALIN CHLORIDE,Solution
ADRIAMYCIN,VIAL
ADRUCIL,VIAL
ADUHELM,VIAL
ADULT ASPIRIN REGIMEN,TABLET DR
ADULT DM MAXIMUM,Liquid
ADULT GLYCERIN,SUPP.RECT
ADULT LOW DOSE ASPIRIN EC,TABLET DR
ADULT ROBITUSSIN PEAK COLD M-S,Liquid
ADULT TUSSIN CHEST CONGESTION,Liquid
ADULT TUSSIN COUGH CONGEST DM,Liquid
ADULT TUSSIN DM,SYRUP
ADULT TUSSIN DM,Liquid
ADULT TUSSIN DM,Tablet
ADULT TUSSIN MULTI-SYMP COLD,Liquid
ADULT WAL-TUSSIN,Liquid
ADULT WAL-TUSSIN DM,SYRUP
ADULT WAL-TUSSIN DM,Liquid
ADULT WAL-TUSSIN DM,Tablet
ADULT WAL-TUSSIN DM MAX,Liquid
ADVAIR DISKUS,Inhaler
ADVAIR HFA,HFA AER AD
ADVANCED ANTACID-ANTIGAS,Oral Suspension
ADVANCED DNA MEDICATED COLLECT,Kit
ADVANCED EXFOLIATING CLEANSER,CLEANSER
ADVANCED EXFOLIATING CLEANSER,Gel
ADVANCED EXFOLIATING CLEANSER,Foam
ADVANCED EXFOLIATING CLEANSER,TOWELETTE
ADVATE,VIAL
ADVIL,Tablet
ADVIL,Capsule
ADVIL COLD & SINUS,Tablet
ADVIL COLD-SINUS,Tablet
ADVIL COLD-SINUS,Capsule
ADVIL JUNIOR STRENGTH,Tablet
ADVIL JUNIOR STRENGTH,Oral Suspension
ADVIL JUNIOR STRENGTH,Chewable Tablet
ADVIL JUNIOR STRENGTH,Capsule
ADVIL MIGRAINE,Tablet
ADVIL MIGRAINE,Oral Suspension
ADVIL MIGRAINE,Chewable Tablet
ADVIL MIGRAINE,Capsule
ADVIL PM,Tablet
ADVIL PM,Capsule
ADVOCATE PAIN RELIEF,Liquid
ADYPHREN,Kit
ADYPHREN AMP,Kit
ADZENYS XR-ODT,TAB RAP BP
AEMCOLO,TABLET DR
AFINITOR,Tablet
AFINITOR,TAB SUSP
AFINITOR DISPERZ,Tablet
AFINITOR DISPERZ,TAB SUSP
AFIRMELLE,Tablet
AFLURIA QUAD 2022-2023,VIAL
AFLURIA QUAD 2022-23 (3YR UP),Syringe
AFREZZA,CART INHAL
AFRIN,SPRAY
AFRIN,MIST
AFSTYLA,VIAL
AFTER PILL,Tablet
AFTERA,Tablet
AGGRASTAT,VIAL
AGGRASTAT,PLAST. BAG
AGONEAZE,Cream (g)
AGONEAZE,Kit
AGRYLIN,Capsule
AHIST,Tablet
AIMOVIG AUTOINJECTOR,AUTO INJCT
AIRDUO DIGIHALER,AER PW BAS
AIRDUO RESPICLICK,AER POW BA
AJOVY AUTOINJECTOR,AUTO INJCT
AJOVY SYRINGE,Syringe
AK-POLY-BAC,Ointment
AKLIEF,Cream (g)
AKOVAZ,Syringe
AKOVAZ,VIAL
AKOVAZ,AMPUL
AKTEN,GEL (ML)
AKYNZEO,Capsule
AKYNZEO,VIAL
ALA-CORT,Cream (g)
ALA-HIST IR,Tablet
ALA-QUIN,Cream (g)
ALA-SCALP,Lotion
ALAVERT,TAB RAPDIS
ALAVERT,Tablet ER 12H
ALAVERT D-12,Tablet ER 12H
ALAWAY,Drops
ALBENDAZOLE,Tablet
ALBUKED-25,VIAL
ALBUKED-5,VIAL
ALBUMIN (HUMAN),IV SOLN
ALBUMINEX,VIAL
ALBURX,VIAL
ALBUTEIN,VIAL
ALBUTEROL SULFATE,VIAL-NEB
ALBUTEROL SULFATE,SYRUP
ALBUTEROL SULFATE,Solution
ALBUTEROL SULFATE,Tablet
ALBUTEROL SULFATE,Tablet ER 12H
ALBUTEROL SULFATE HFA,HFA AER AD
ALCAINE,Drops
ALCLOMETASONE DIPROPIONATE,Cream (g)
ALCLOMETASONE DIPROPIONATE,Ointment
ALDACTAZIDE,Tablet
ALDACTONE,Tablet
ALDURAZYME,VIAL
ALECENSA,Capsule
ALENDRONATE SODIUM,Tablet
ALENDRONATE SODIUM,Solution
ALER-CAPS,Capsule
ALERT AID,Tablet
ALEVAZOL,Ointment
ALEVE,Tablet
ALEVE PM,Tablet
ALEVE SINUS AND HEADACHE,Tablet ER 12H
ALEVE-D SINUS AND COLD,Tablet ER 12H
ALEVE-D SINUS AND HEADACHE,Tablet ER 12H
ALFERON N,VIAL
ALFUZOSIN HCL ER,Tablet ER 24H
ALIMTA,VIAL
ALINIA,Oral Suspension
ALINIA,Tablet
ALIQOPA,VIAL
ALISKIREN,Tablet
ALKA-SELTZER,TABLET EFF
ALKERAN,Tablet
ALKINDI SPRINKLE,CAP SPRINK
ALLEGRA ALLERGY,Tablet
ALLEGRA-D 12 HOUR,Tablet ER 12H
ALLEGRA-D 12 HOUR,Tablet ER 24H
ALLEGRA-D 24 HOUR,Tablet ER 24H
ALLER-CHLOR,Tablet
ALLER-CORT,SPRAY
ALLER-EASE,Tablet
ALLER-FEX,Tablet
ALLER-FLO,SPRAY SUSP
ALLER-G-TIME,Capsule
ALLER-G-TIME,Tablet
ALLER-TEC,Tablet
ALLER-TEC D,Tablet ER 12H
ALLERCLEAR,Tablet
ALLERCLEAR D-12HR,Tablet ER 12H
ALLOPURINOL,Tablet
ALLOPURINOL SODIUM,VIAL
ALLZITAL,Tablet
ALLZITAL,Capsule
ALMACONE-2,Oral Suspension
ALMOTRIPTAN MALATE,Tablet
ALOCANE EMERGENCY BURN,GEL (ML)
ALOCANE EMERGENCY BURN,MED. PAD
ALOCANE EMERGENCY BURN,SPRAY
ALOCRIL,Drops
ALOE BURN RELIEF,SPRAY
ALOE VERA BURN RELIEF,SPRAY
ALOGLIPTIN,Tablet
ALOGLIPTIN-METFORMIN,Tablet
ALOGLIPTIN-PIOGLITAZONE,Tablet
ALOMIDE,Drops
ALOPHEN PILLS,TABLET DR
ALOPRIM,VIAL
ALOSETRON HCL,Tablet
ALPHAGAN P,Drops
ALPHANATE,VIAL
ALPHANINE SD,VIAL
ALPRAZOLAM,Tablet
ALPRAZOLAM ER,Tablet ER 24H
ALPRAZOLAM INTENSOL,ORAL CONC
ALPRAZOLAM ODT,TAB RAPDIS
ALPRAZOLAM XR,Tablet ER 24H
ALPROLIX,VIAL
ALPROSTADIL,VIAL
ALREX,Eye Dropper
ALTABAX,Ointment
ALTACAINE,Drops
ALTACE,Capsule
ALTACHLORE,Ointment
ALTACHLORE,Drops
ALTAVERA,Tablet
ALTAZINE,Drops
ALTOPREV,Tablet ER 24H
ALTRENO,Lotion
ALUM-MAG HYDROXIDE-SIMETHICONE,Oral Suspension
ALUMINUM HYDROXIDE,Oral Suspension
ALUNBRIG,Tablet
ALUNBRIG,TAB DS PK
ALVESCO,HFA AER AD
ALVIMOPAN,Capsule
ALYACEN,Tablet
ALYMSYS,VIAL
ALYQ,Tablet
AMABELZ,Tablet
AMANTADINE,Tablet
AMANTADINE,Capsule
AMANTADINE,Solution
AMARYL,Tablet
AMBIEN,Tablet
AMBIEN,Subligual Tab
AMBIEN CR,TAB MPHASE
AMBISOME,VIAL
AMBRISENTAN,Tablet
AMELUZ,Gel
AMERICAINE,Ointment
AMETHIA,TBDSPK 3MO
AMETHYST,Tablet
AMICAR,Solution
AMICAR,Tablet
AMICAR,VIAL
AMIDATE,AMPUL
AMIDATE,VIAL
AMIKACIN SULFATE,VIAL
AMILORIDE HCL,Tablet
AMILORIDE-HYDROCHLOROTHIAZIDE,Tablet
AMINOACETIC ACID,IRRIG SOLN
AMINOCAPROIC ACID,Solution
AMINOCAPROIC ACID,Tablet
AMINOCAPROIC ACID,VIAL
AMINOPHYLLINE,AMPUL
AMINOPHYLLINE,VIAL
AMIODARONE HCL,Tablet
AMIODARONE HCL,VIAL
AMIODARONE HCL,Syringe
AMITIZA,Capsule
AMITRIPTYLINE HCL,Tablet
AMLODIPINE BESYLATE,Tablet
AMLODIPINE BESYLATE-BENAZEPRIL,Capsule
AMLODIPINE-ATORVASTATIN,Tablet
AMLODIPINE-OLMESARTAN,Tablet
AMLODIPINE-VALSARTAN,Tablet
AMLODIPINE-VALSARTAN-HCTZ,Tablet
AMMONIUM LACTATE,Lotion
AMMONIUM LACTATE,Cream (g)
AMNESTEEM,Capsule
AMONDYS-45,VIAL
AMOXAPINE,Tablet
AMOXICILLIN,Capsule
AMOXICILLIN,Oral Suspension
AMOXICILLIN,Tablet
AMOXICILLIN,Chewable Tablet
AMOXICILLIN-CLAVULANATE POT ER,Tablet ER 12H
AMOXICILLIN-CLAVULANATE POTASS,Oral Suspension
AMOXICILLIN-CLAVULANATE POTASS,Tablet
AMOXICILLIN-CLAVULANATE POTASS,Chewable Tablet
AMPHADASE,VIAL
AMPHETAMINE,SUS BP 24H
AMPHETAMINE SULFATE,Tablet
AMPHOTERICIN B,VIAL
AMPHOTERICIN B LIPOSOME,VIAL
AMPICILLIN SODIUM,VIAL PORT
AMPICILLIN SODIUM,VIAL
AMPICILLIN TRIHYDRATE,Capsule
AMPICILLIN-SULBACTAM,VIAL
AMPICILLIN-SULBACTAM,VIAL PORT
AMPYRA,Tablet ER 12H
AMRIX,Capsule ER 24H
AMVISC,Syringe
AMVUTTRA,Syringe
AMZEEQ,Foam
ANA-LEX,Kit
ANACIN,Tablet
ANAFRANIL,Capsule
ANAGRELIDE HCL,Capsule
ANALPRAM HC,Lotion
ANALPRAM HC,CREAM/APPL
ANAPROX DS,Tablet
ANAPROX DS,Capsule
ANASPAZ,Subligual Tab
ANASPAZ,Tablet
ANASPAZ,TAB RAPDIS
ANASPAZ,Drops
ANASPAZ,ELIXIR
ANASPAZ,VIAL
ANASTIA,Lotion
ANASTROZOLE,Tablet
ANBESOL,Gel
ANBESOL,Liquid
ANBESOL,Ointment
ANCOBON,Capsule
ANDEXXA,VIAL
ANDRODERM,Patch
ANDROGEL,GEL MD PMP
ANDROGEL,Gel
ANDROGEL,SOL MD PMP
ANDROGEL,GEL PACKET
ANDROGEL,PELLET(EA)
ANECREAM,Patch
ANECREAM,Ointment
ANECREAM,Cream (g)
ANECREAM,Kit
ANECREAM5,Cream (g)
ANECTINE,VIAL
ANECTINE,Syringe
ANEFRIN,MIST
ANEFRIN,SPRAY
ANGELIQ,Tablet
ANGIOMAX,VIAL
ANGIOMAX,VIAL PORT
ANJESO,VIAL
ANNOVERA,VAG RING
ANODYNE LPT,Cream (g)
ANODYNE LPT,Kit
ANORO ELLIPTA,BLST W/DEV
ANTARA,Tablet
ANTARA,Capsule
ANTIVENIN LATRODECTUS MACTANS,VIAL
ANTIVENIN MICRURUS FULVIUS,VIAL
ANTIVERT,Tablet
ANTIVERT,Chewable Tablet
ANUCORT-HC,SUPP.RECT
ANUSOL-HC,SUPP.RECT
AP-HIST DM,Liquid
APADAZ,Tablet
APEXICON E,Cream (g)
APHEN,Tablet
APHEN,Liquid
APHEN,Solution
APHEN,SUPP.RECT
APHEN,Oral Suspension
APHEN,Capsule
APHEN,Chewable Tablet
APHEN,VIAL
APHEN,ELIXIR
APHEN,TAB RAPDIS
APHEN,PIGGYBACK
APIDRA,VIAL
APIDRA SOLOSTAR,INSULN PEN
APLENZIN,Tablet ER 24H
APLISOL,VIAL
APOKYN,CARTRIDGE
APOMORPHINE HCL,CARTRIDGE
APRACLONIDINE HCL,Drops
APREPITANT,Capsule
APREPITANT,CAP DS PK
APRETUDE,SUSER VIAL
APRI,Tablet
APRISO,Capsule ER 24H
APRISO,Capsule ER
APRIZIO PAK,Cream (g)
APRIZIO PAK,Kit
APRODINE,Tablet
APTENSIO XR,TAB ER 24
APTENSIO XR,Tablet
APTENSIO XR,CSBP 40-60
APTIOM,Tablet
APTIVUS,Capsule
APTIVUS,Solution
AQUA CARE,Lotion
AQUA CARE,Cream (g)
AQUANAZ,Tablet
AQUANIL HC,Lotion
AQUAPHOR BABY DIAPER RASH,Cream (g)
AQUAPHOR BABY DIAPER RASH,Ointment
AQUAPHOR ITCH RELIEF,Cream (g)
AQUAPHOR ITCH RELIEF,Ointment
AQUAPHOR ITCH RELIEF,CRM/PE APP
AQUAPHOR ITCH RELIEF,Tablet
AQUAPHOR ITCH RELIEF,Lotion
AQUAPHOR ITCH RELIEF,ENEMA
ARAKODA,Tablet
ARALAST NP,VIAL
ARANELLE,Tablet
ARANESP,VIAL
ARANESP,Syringe
ARAVA,Tablet
ARAZLO,Lotion
ARCALYST,VIAL
ARESTIN,CARTRIDGE
ARFORMOTEROL TARTRATE,VIAL-NEB
ARGATROBAN,VIAL
ARGATROBAN-SODIUM CHLORIDE,VIAL
ARICEPT,Tablet
ARIKAYCE,VIAL-NEB
ARIMIDEX,Tablet
ARIPIPRAZOLE,Tablet
ARIPIPRAZOLE,Solution
ARIPIPRAZOLE ODT,TAB RAPDIS
ARISTADA,SUSER SYR
ARISTADA INITIO,SUSER SYR
ARIXTRA,Syringe
ARMODAFINIL,Tablet
ARMONAIR DIGIHALER,AER PW BAS
ARMOUR THYROID,Tablet
ARNUITY ELLIPTA,BLST W/DEV
AROMASIN,Tablet
ARRANON,VIAL
ARSENIC TRIOXIDE,VIAL
ARTIFICIAL EYE LUBRICANT,Ointment
ARTIFICIAL TEARS,Drops
ARTIFICIAL TEARS,Ointment
ARTIFICIAL TEARS,DROPERETTE
ARZERRA,VIAL
ASACOL HD,TABLET DR
ASACOL HD,SUPP.RECT
ASACOL HD,ENEMA
ASACOL HD,ENEMA KIT
ASCENIV,VIAL
ASCOMP WITH CODEINE,Capsule
ASCORBIC ACID,Tablet
ASCORBIC ACID,VIAL
ASCORBIC ACID,GRANULES
ASENAPINE MALEATE,Subligual Tab
ASHLYNA,TBDSPK 3MO
ASMANEX,AER POW BA
ASMANEX HFA,HFA AER AD
ASPARLAS,VIAL
ASPERCREME,Cream (g)
ASPERFLEX,Ointment
ASPERFLEX,Patch
ASPERFLEX ADVANCE,Patch
ASPIR-TRIN,TABLET DR
ASPIRIN,Chewable Tablet
ASPIRIN,Tablet
ASPIRIN,SUPP.RECT
ASPIRIN,POWD PACK
ASPIRIN EC,TABLET DR
ASPIRIN REGIMEN,TABLET DR
ASPIRIN-DIPYRIDAMOLE ER,CPMP 12HR
ASPIRIN-OMEPRAZOLE,TAB IR DR
ASPRUZYO SPRINKLE,PACK ER GR
ASTAGRAF XL,Capsule ER 24H
ASTEPRO ALLERGY,SPRAY/PUMP
ASTEPRO ALLERGY,Drops
ASTERO,GEL W/PUMP
ASTHMANEFRIN REFILL,VIAL-NEB
ATACAND,Tablet
ATACAND HCT,Tablet
ATAZANAVIR SULFATE,Capsule
ATELVIA,TABLET DR
ATENOLOL,Tablet
ATENOLOL-CHLORTHALIDONE,Tablet
ATGAM,AMPUL
ATHENOL,Tablet
ATHLETES FOOT,Cream (g)
ATHLETES FOOT,SPRAY
ATHLETES FOOT,AERO POWD
ATHLETES FOOT,Powder
ATHLETES FOOT SPRAY,AERO POWD
ATHLETIC FOOT CREAM,Cream (g)
ATHLETIC FOOT CREAM,Solution
ATOMOXETINE HCL,Capsule
ATORVASTATIN CALCIUM,Tablet
ATOVAQUONE,Oral Suspension
ATOVAQUONE-PROGUANIL HCL,Tablet
ATRACURIUM BESYLATE,VIAL
ATRALIN,Cream (g)
ATRALIN,Gel
ATRALIN,Capsule
ATRIPLA,Tablet
ATROPINE SULFATE,Drops
ATROPINE SULFATE,DRPS EMULS
ATROPINE SULFATE,Ointment
ATROPINE SULFATE,Syringe
ATROPINE SULFATE,VIAL
ATIVAN,Tablet
ATIVAN,ORAL CONC
ATIVAN,VIAL
ATIVAN,Syringe
ATIVAN,CARTRIDGE
ATROVENT HFA,HFA AER AD
AUBAGIO,Tablet
AUBRA,Tablet
AUBRA EQ,Tablet
AUGMENTIN,Oral Suspension
AUGMENTIN,Tablet
AUGMENTIN ES-600,Oral Suspension
AUGMENTIN ES-600,Tablet
AUGMENTIN ES-600,Chewable Tablet
AUGMENTIN XR,Tablet ER 12H
AUROVELA,Tablet
AUROVELA 24 FE,Tablet
AUROVELA FE,Tablet
AURYXIA,Tablet
AUSTEDO,Tablet
AUVELITY,TAB IR ER
AUVI-Q,AUTO INJCT
AVALIDE,Tablet
AVAPRO,Tablet
AVAR,CLEANSER
AVAR,SUSPENSION
AVAR,Lotion
AVAR,Cream (g)
AVAR,MED. PAD
AVAR LS,CLEANSER
AVAR LS,SUSPENSION
AVAR LS,Lotion
AVAR LS,Cream (g)
AVAR LS,MED. PAD
AVAR-E,CLEANSER
AVAR-E,SUSPENSION
AVAR-E,Lotion
AVAR-E,Cream (g)
AVAR-E,MED. PAD
AVAR-E GREEN,CLEANSER
AVAR-E GREEN,SUSPENSION
AVAR-E GREEN,Lotion
AVAR-E GREEN,Cream (g)
AVAR-E GREEN,MED. PAD
AVAR-E LS,CLEANSER
AVAR-E LS,SUSPENSION
AVAR-E LS,Lotion
AVAR-E LS,Cream (g)
AVAR-E LS,MED. PAD
AVASTIN,VIAL
AVEED,VIAL
AVELOX IV,Drops
AVELOX IV,DROPS VISC
AVELOX IV,VIAL
AVELOX IV,PIGGYBACK
AVIANE,Tablet
AVIDOXY,Tablet
AVITA,Gel
AVITA,Cream (g)
AVODART,Capsule
AVONEX,SYRINGEKIT
AVONEX,Syringe
AVONEX PEN,PEN IJ KIT
AVONEX PEN,PEN INJCTR
AVSOLA,VIAL
AVYCAZ,VIAL
AWAKE,Tablet
AYGESTIN,Tablet
AYUNA,Tablet
AYVAKIT,Tablet
AZACITIDINE,VIAL
AZACTAM,VIAL
AZASAN,Tablet
AZASITE,Drops
AZATHIOPRINE,Tablet
AZATHIOPRINE SODIUM,VIAL
AZEDRA DOSIMETRIC,VIAL
AZEDRA THERAPEUTIC,VIAL
AZELAIC ACID,Gel
AZELASTINE HCL,SPRAY/PUMP
AZELASTINE HCL,Drops
AZELASTINE-FLUTICASONE,SPRAY/PUMP
AZELEX,Cream (g)
AZILECT,Tablet
AZITHROMYCIN,Tablet
AZITHROMYCIN,Oral Suspension
AZITHROMYCIN,PACKET
AZITHROMYCIN,VIAL
AZITHROMYCIN,VIAL PORT
AZO URINARY PAIN RELIEF,Tablet
AZOLEN TINCTURE,TINCTURE
AZOPT,Eye Dropper
AZOR,Tablet
AZSTARYS,Capsule
AZTREONAM,VIAL
AZULFIDINE,Tablet
AZURETTE,Tablet
B AND C,Ointment
B COMPLEX,Tablet
B COMPLEX NUMBER 1,Tablet
B-1,Tablet
B-12,Tablet
B-12,TAB RAPDIS
B-12,Subligual Tab
B-12,LOZENGE
B-12,Drops
B-12 DOTS,Tablet
B-COMPLEX,Tablet
B-COMPLEX,VIAL
B-SURE,MED. PAD
BACITRACIN,Ointment
BACITRACIN,PACKET
BACITRACIN,VIAL
BACITRACIN ZINC,Ointment
BACITRACIN ZINC,OINT PACK
BACITRACIN-POLYMYXIN,Ointment
BACITRAYCIN PLUS,Ointment
BACITRAYCIN PLUS,PACKET
BACITRAYCIN PLUS,VIAL
BACLOFEN,Tablet
BACLOFEN,Solution
BACLOFEN,Syringe
BACLOFEN,VIAL
BACTINE MAX,Solution
BACTRIM,Tablet
BACTRIM,Oral Suspension
BACTRIM,VIAL
BACTRIM DS,Tablet
BACTRIM DS,Oral Suspension
BACTRIM DS,VIAL
BAFIERTAM,CAPSULE DR
BAL IN OIL,AMPUL
BALAMINE DM,Liquid
BALANCE B-100,Tablet
BALANCE B-50,Tablet
BALANCED B-100,Tablet
BALANCED B-50,Tablet
BALANCED SALT,IRRIG SOLN
BALCOLTRA,Tablet
BALSALAZIDE DISODIUM,Capsule
BALSAM PERU-CASTOR OIL,Ointment
BALVERSA,Tablet
BALZIVA,Tablet
BAMLANIVIMAB (EUA),VIAL
BANOPHEN,Capsule
BANOPHEN,Tablet
BANOPHEN ANTI-ITCH,Cream (g)
BANZEL,Tablet
BANZEL,Oral Suspension
BAQSIMI,SPRAY
BARACLUDE,Tablet
BARHEMSYS,VIAL
BASAGLAR KWIKPEN U-100,INSULN PEN
BASAGLAR TEMPO PEN U-100,INSULN PEN
BAVENCIO,VIAL
BAXDELA,Tablet
BAXDELA,VIAL
BAYER ADVANCED,Tablet
BAYER BACK-BODY,Tablet
BAYER CHEWABLE ASPIRIN,Chewable Tablet
BAYER CHEWABLE ASPIRIN,Tablet
BAYER CHEWABLE ASPIRIN,SUPP.RECT
BAYER CHEWABLE ASPIRIN,POWD PACK
BAYER MIGRAINE,Tablet
BAYER PLUS,Tablet
BAZA ANTIFUNGAL,Cream (g)
BC MAX STRENGTH,POWD PACK
BCG (TICE STRAIN),VIAL
BEBTELOVIMAB (EUA),VIAL
BECONASE AQ,SPRAY
BELBUCA,FILM
BELEODAQ,VIAL
BELLADONNA-OPIUM,SUPP.RECT
BELLADONNA-PHENOBARBITAL,Tablet
BELRAPZO,VIAL
BELSOMRA,Tablet
BENADRYL,Capsule
BENADRYL,SPRAY
BENADRYL,Cream (g)
BENAZEPRIL HCL,Tablet
BENAZEPRIL-HYDROCHLOROTHIAZIDE,Tablet
BENDAMUSTINE HCL,VIAL
BENDEKA,VIAL
BENEFIX,VIAL
BENGAY ULTRA STRENGTH,Cream (g)
BENICAR,Tablet
BENICAR HCT,Tablet
BENLYSTA,AUTO INJCT
BENLYSTA,VIAL
BENLYSTA,Syringe
BENSAL HP,Shampoo
BENSAL HP,Liquid
BENSAL HP,LIQ-FILM
BENSAL HP,Ointment
BENSAL HP,Gel
BENSAL HP,Lotion
BENSAL HP,Cream (g)
BENSAL HP,Foam
BENSAL HP,Cream
BENSAL HP,KIT CLCMER
BENSAL HP,LOTION ER
BENTYL,Tablet
BENTYL,Capsule
BENTYL,Solution
BENTYL,AMPUL
BENTYL,VIAL
BENZAMYCIN,Gel
BENZEFOAM,Foam
BENZEPRO,Foam
BENZEPRO,TOWELETTE
BENZEPRO,CLEANSER
BENZHYDROCODONE-ACETAMINOPHEN,Tablet
BENZNIDAZOLE,Tablet
BENZONATATE,Capsule
